movie,cast,Role
 on Flux ,Paterson Joseph,actor
#Horror ,Lydia Hearst,actor
[Rec] ,Carlos Lasarte,actor
[Rec] 2 ,Andrea Ros,actor
10 Cloverfield Lane ,Sumalee Montano,actor
10 Days in a Madhouse ,Alexandra Callas,actor
10 Things I Hate About You ,Andrew Keegan,actor
"10,000 B.C.             ",,actor
102 Dalmatians ,Jim Carter,actor
10th & Wolf ,Dash Mihok,actor
11:14 ,Shawn Hatosy,actor
12 Angry Men ,John Fiedler,actor
12 Monkeys             ,Tom Noonan,actor
12 Rounds ,Nick Gomez,actor
12 Years a Slave ,Taran Killam,actor
127 Hours ,Kate Burton,actor
13 Going on 30 ,Christa B. Allen,actor
13 Hours ,David Costabile,actor
1408,Alexandra Silber,actor
15 Minutes ,Kelsey Grammer,actor
16 Blocks ,Sasha Roiz,actor
16 to Life ,Hallee Hirsh,actor
17 Again ,Thomas Lennon,actor
1776,Howard Caine,actor
1911,Jaycee Chan,actor
1941,Treat Williams,actor
1982,Quinton Aaron,actor
2 Fast 2 Furious ,Mo Gallini,actor
2 Guns ,Fred Ward,actor
2:13 ,Jere Burns,actor
20 Dates ,Robert McKee,actor
20 Feet from Stardom ,Merry Clayton,actor
"20,000 Leagues Under the Sea ",Paul Lukas,actor
"20,000 Leagues Under the Sea ",Paul Lukas,actor
200 Cigarettes ,Gaby Hoffmann,actor
2001: A Space Odyssey ,Glenn Beck,actor
2012,Tom McCarthy,actor
2016: Obama's America ,Dinesh D'Souza,actor
2046,Maggie Cheung,actor
21,Josh Gad,actor
21 & Over ,Sarah Wright,actor
21 Grams ,Danny Huston,actor
21 Jump Street ,Rob Riggle,actor
22 Jump Street ,Amber Stevens West,actor
24 7: Twenty Four Seven ,Karl Collins,actor
25th Hour ,Aaron Stanford,actor
27 Dresses ,Yetta Gottesman,actor
28 Days ,Elizabeth Perkins,actor
28 Days Later... ,David Schneider,actor
28 Weeks Later ,Catherine McCormack,actor
3,Sophie Rois,actor
3 Backyards ,Kathryn Erbe,actor
3 Days to Kill ,T?mas Lemarquis,actor
3 Men and a Baby ,Steve Guttenberg,actor
3 Ninjas Kick Back ,Don Stark,actor
3 Strikes ,Faizon Love,actor
3:10 to Yuma ,Gretchen Mol,actor
30 Days of Night ,Megan Franich,actor
30 Minutes or Less ,Fred Ward,actor
30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo ,Olivia Alexander,actor
300,Vincent Regan,actor
300: Rise of an Empire ,Peter Mensah,actor
3000 Miles to Graceland ,Ice-T,actor
3rd Rock from the Sun             ,Kristen Johnston,actor
"4 Months, 3 Weeks and 2 Days ",Alexandru Potocean,actor
40 Days and 40 Nights ,Paulo Costanzo,actor
42,Nicole Beharie,actor
42nd Street ,George Brent,actor
47 Ronin ,Jin Akanishi,actor
5 Days of War ,Ana Imnadze,actor
50 First Dates ,Allen Covert,actor
50/50 ,Bryce Dallas Howard,actor
500 Days of Summer ,Zooey Deschanel,actor
51 Birch Street ,Mike Block,actor
54,Sela Ward,actor
55 Days at Peking ,John Ireland,actor
8 Days ,Ivette Alvarez,actor
8 Heads in a Duffel Bag ,Dyan Cannon,actor
8 Mile ,Evan Jones,actor
8 Women ,Emmanuelle B?art,actor
8: The Mormon Proposition ,Gavin Newsom,actor
88 Minutes ,Deborah Kara Unger,actor
8MM ,Anthony Heald,actor
9,Tom Kane,actor
9  Weeks ,Kim Chan,actor
90 Minutes in Heaven ,Cynthia Barrett,actor
A Beautiful Mind ,Judd Hirsch,actor
A Beginner's Guide to Snuff ,Bree Williamson,actor
A Better Life ,Robert Peters,actor
A Bridge Too Far ,Wolfgang Preiss,actor
A Bug's Life ,John Ratzenberger,actor
A Charlie Brown Christmas ,Christopher Shea,actor
A Christmas Carol ,Gary Oldman,actor
A Christmas Story ,Scott Schwartz,actor
A Cinderella Story ,Julie Gonzalo,actor
A Civil Action ,Sydney Pollack,actor
A Dangerous Method ,Sarah Gadon,actor
A Dog of Flanders ,Jack Warden,actor
A Dog's Breakfast ,Paul McGillion,actor
A Dog's Breakfast ,Paul McGillion,actor
A Farewell to Arms ,Adolphe Menjou,actor
A Few Good Men ,Kevin Pollak,actor
A Fine Step ,Leonor Varela,actor
A Fistful of Dollars ,Aldo Sambrell,actor
A Funny Thing Happened on the Way to the Forum ,Phil Silvers,actor
A Good Day to Die Hard ,Megalyn Echikunwoke,actor
A Good Year ,Richard Coyle,actor
A Guy Named Joe ,Irene Dunne,actor
A Guy Thing ,James Brolin,actor
A Hard Day's Night ,George Harrison,actor
A Haunted House ,J.B. Smoove,actor
A Haunted House 2 ,Gabriel Iglesias,actor
A History of Violence ,William Hurt,actor
A Home at the End of the World ,Sissy Spacek,actor
A Knight's Tale ,B?r?nice Bejo,actor
A League of Their Own ,Rosie O'Donnell,actor
A Lego Brickumentary ,Jason Bateman,actor
A Lonely Place to Die ,Sean Harris,actor
A Lot Like Love ,James Read,actor
A Low Down Dirty Shame ,Charles S. Dutton,actor
A Madea Christmas ,Larry the Cable Guy,actor
A Man Apart ,Larenz Tate,actor
A Man for All Seasons ,Paul Scofield,actor
A Mighty Heart ,Dan Futterman,actor
A Mighty Wind ,Laura Harris,actor
A Million Ways to Die in the West ,Seth MacFarlane,actor
A Monster in Paris ,Fran?ois Cluzet,actor
A Most Violent Year ,Albert Brooks,actor
A Most Wanted Man ,Homayoun Ershadi,actor
A Night at the Roxbury ,Dan Hedaya,actor
A Nightmare on Elm Street ,Amanda Wyss,actor
A Nightmare on Elm Street ,Amanda Wyss,actor
A Nightmare on Elm Street 2: Freddy's Revenge ,Marshall Bell,actor
A Nightmare on Elm Street 3: Dream Warriors ,Jennifer Rubin,actor
A Nightmare on Elm Street 4: The Dream Master ,Brooke Bundy,actor
A Nightmare on Elm Street 5: The Dream Child ,Matthew Borlenghi,actor
A Passage to India ,Art Malik,actor
A Perfect Getaway ,Marley Shelton,actor
A Perfect Plan ,Alice Pol,actor
A Plague So Pleasant ,David Chandler,actor
A Prairie Home Companion ,Lily Tomlin,actor
A Room for Romeo Brass ,Shane Meadows,actor
A Room with a View ,Denholm Elliott,actor
A Scanner Darkly ,Rory Cochrane,actor
A Separation ,Peyman Moaadi,actor
A Serious Man ,Peter Breitmayer,actor
A Shine of Rainbows ,John Bell,actor
A Simple Plan ,Chelcie Ross,actor
A Simple Wish ,Kathleen Turner,actor
A Single Man ,Keri Lynn Pratt,actor
A Sound of Thunder ,Jemima Rooper,actor
A Streetcar Named Desire ,Kim Hunter,actor
A Tale of Three Cities ,Hailu Qin,actor
A Thin Line Between Love and Hate ,Della Reese,actor
A Thousand Words ,Greg Collins,actor
A Time to Kill ,Oliver Platt,actor
A Touch of Frost             ,John Lyons,actor
A True Story ,Kelen Coleman,actor
A Turtle's Tale: Sammy's Adventures ,Stacy Keach,actor
A Very Harold & Kumar 3D Christmas ,Paula Garc?s,actor
A Very Long Engagement ,Albert Dupontel,actor
A View to a Kill ,Tanya Roberts,actor
A Walk Among the Tombstones ,David Harbour,actor
A Walk on the Moon ,Tovah Feldshuh,actor
A Walk to Remember ,Paz de la Huerta,actor
A Warrior's Tail ,Sergey Garmash,actor
"A Woman, a Gun and a Noodle Shop ",Dahong Ni,actor
"A Woman, a Gun and a Noodle Shop ",Dahong Ni,actor
A.I. Artificial Intelligence ,Kevin Sussman,actor
Abandon ,Tony Goldwyn,actor
Abandoned ,Rachel Nash,actor
ABCD (Any Body Can Dance) ,Prabhudheva,actor
Abduction ,Richard Cetrone,actor
Aberdeen ,Stellan Skarsg?rd,actor
About a Boy ,Peter McNicholl,actor
About Last Night ,Bryan Callen,actor
About Schmidt ,Howard Hesseman,actor
About Time ,Lindsay Duncan,actor
Abraham Lincoln: Vampire Hunter ,Benjamin Walker,actor
Absentia ,Erin Cipolletti,actor
Absolute Power ,Scott Glenn,actor
Accidental Love ,Beverly D'Angelo,actor
Ace Ventura: Pet Detective ,David Margulies,actor
Ace Ventura: When Nature Calls ,Sophie Okonedo,actor
Across the Universe ,Robert Clohessy,actor
Across the Universe ,Robert Clohessy,actor
Act of Valor ,Rorke Denver,actor
Action Jackson ,Carl Weathers,actor
Adam ,Amy Irving,actor
Adam Resurrected ,Derek Jacobi,actor
Adaptation. ,Roger Willie,actor
Addicted ,Sharon Leal,actor
Admission ,Christopher Evan Welch,actor
Adore ,Ben Mendelsohn,actor
Adulterers ,Danielle Savre,actor
Adventureland ,Wendie Malick,actor
After ,Karolina Wydra,actor
After Earth ,Glenn Morshower,actor
After the Sunset ,Chris Penn,actor
After.Life ,Chandler Canterbury,actor
Against the Ropes ,Tim Daly,actor
Against the Wild ,Erin Pitt,actor
Agent Cody Banks ,Chris Gauthier,actor
Agent Cody Banks 2: Destination London ,David Kelly,actor
Agora ,Rupert Evans,actor
Aimee & Jaguar ,Maria Schrader,actor
Air Bud ,Michael Jeter,actor
Air Force One ,Dean Stockwell,actor
Airborne ,Brittney Powell,actor
Airlift ,Purab Kohli,actor
Airplane! ,Barbara Billingsley,actor
Ajami ,Ranin Karim,actor
Akeelah and the Bee ,Tzi Ma,actor
Akira ,Tessh? Genda,actor
Aladdin ,Scott Weinger,actor
Albert Nobbs ,Mark Williams,actor
Albino Alligator ,Faye Dunaway,actor
Alex & Emma ,Robert Costanzo,actor
Alex Cross ,Carmen Ejogo,actor
Alex Rider: Operation Stormbreaker ,Ashley Walters,actor
Alexander ,Brian Blessed,actor
"Alexander and the Terrible, Horrible, No Good, Very Bad Day ",Jennifer Garner,actor
Alexander's Ragtime Band ,John Carradine,actor
Alfie ,Jane Krakowski,actor
Ali ,Joe Morton,actor
Alias Betty ,Roschdy Zem,actor
Alice in Wonderland ,Anne Hathaway,actor
Alice in Wonderland ,Anne Hathaway,actor
Alice Through the Looking Glass ,Anne Hathaway,actor
Alien ,Bolaji Badejo,actor
Alien 3 ,Paul McGann,actor
Alien Uprising ,Bianca Brigitte VanDamme,actor
Alien Zone ,Charles Aidman,actor
Alien: Resurrection ,Raymond Cruz,actor
Aliens ,Jenette Goldstein,actor
Aliens in the Attic ,Tim Meadows,actor
Aliens vs. Predator: Requiem ,Ian Whyte,actor
Alive ,Michael DeLorenzo,actor
All About Steve ,Beth Grant,actor
All About the Benjamins ,Gino Salvano,actor
All Good Things ,Frank Langella,actor
All Hat ,Stephen McHattie,actor
All Is Bright ,Peter Hermann,actor
All Is Lost ,,actor
All or Nothing ,Gary McDonald,actor
All Superheroes Must Die ,Nick Principe,actor
All That Jazz ,Max Wright,actor
All the Boys Love Mandy Lane ,Whitney Able,actor
All the King's Men ,Kevin Dunn,actor
All the Pretty Horses ,Sam Shepard,actor
All the Queen's Men ,Edward Fox,actor
All the Real Girls ,Shea Whigham,actor
